date,proba_rfc_cal,proba_sgd_cal,y_true,month
2022-07-21,0.450000,0.473322,0,2022-07
2022-07-22,0.450000,0.470931,0,2022-07
2022-07-23,0.450000,0.469980,1,2022-07
2022-07-24,0.450000,0.470173,0,2022-07
2022-07-25,0.450000,0.465691,0,2022-07
2022-07-26,0.450000,0.464892,1,2022-07
2022-07-27,0.450000,0.471110,1,2022-07
2022-07-28,0.450000,0.473302,0,2022-07
2022-07-29,0.450000,0.473287,0,2022-07
2022-07-30,0.450000,0.472628,0,2022-07
2022-07-31,0.500000,0.471280,0,2022-07
2022-08-02,0.393443,0.452237,0,2022-08
2022-08-03,0.393443,0.452646,0,2022-08
2022-08-04,0.393443,0.452980,1,2022-08
2022-08-05,0.393443,0.452233,0,2022-08
2022-08-06,0.387822,0.452800,1,2022-08
2022-08-07,0.342857,0.452588,1,2022-08
2022-08-08,0.393443,0.451795,0,2022-08
2022-08-09,0.393443,0.452643,1,2022-08
2022-08-10,0.588235,0.451846,1,2022-08
2022-08-11,0.588235,0.451993,1,2022-08
2022-08-12,0.393443,0.451305,1,2022-08
2022-08-13,0.393443,0.451347,0,2022-08
2022-08-14,0.393443,0.451548,0,2022-08
2022-08-15,0.588235,0.451992,0,2022-08
2022-08-16,0.393443,0.452648,0,2022-08
2022-08-17,0.393443,0.453749,0,2022-08
2022-08-18,0.393443,0.454212,0,2022-08
